ip,org,country,loc
208.190.81.121,"AS7018 AT&T Enterprises, LLC",US,"29.7633,-95.3633"
213.122.164.185,AS2856 British Telecommunications PLC,GB,"51.5684,0.4578"
165.154.140.44,AS135377 UCLOUD INFORMATION TECHNOLOGY (HK) LIMITED,GB,"51.5085,-0.1257"
172.191.159.122,AS8075 Microsoft Corporation,US,"38.7135,-78.1594"
167.89.61.73,"AS11377 SendGrid, Inc.",US,"41.8500,-87.6500"
195.25.12.14,AS3215 Orange S.A.,FR,"49.4431,1.0993"
025.04.01.13,,,
025.05.16.07,,,
200.67.211.23,AS8151 UNINET,MX,"19.2973,-99.1830"
218.7.158.234,AS4837 CHINA UNICOM China169 Backbone,CN,"31.2222,121.4581"
202.145.70.108,"AS9924 Taiwan Fixed Network, Telco and Network Service Provider.",TW,"22.6163,120.3133"
4.8.0.743,,,
198.250.227.71,AS721 DoD Network Information Center,US,"39.9690,-83.0114"
63.251.135.75,AS14742 Unitas Global,US,"42.5251,-71.7598"
64.12.137.2,,US,"33.9728,-118.4276"
024.08.30.06,,,
024.08.28.11,,,
210.111.36.40,AS4670 Shinbiro,KR,"36.5924,127.2922"
76.223.138.215,"AS14618 Amazon.com, Inc.",US,"39.0437,-77.4875"
025.04.09.11,,,
211.93.118.253,AS4837 CHINA UNICOM China169 Backbone,CN,"29.8782,121.5494"
210.64.199.199,AS4780 Digital United Inc.,TW,"25.0531,121.5264"
213.54.67.154,AS8075 Microsoft Corporation,US,"47.6740,-122.1215"
210.187.5.194,AS4788 TM TECHNOLOGY SERVICES SDN. BHD.,MY,"2.9936,101.5726"
54.240.105.222,"AS16509 Amazon.com, Inc.",US,"47.5846,-122.3005"
025.05.19.21,,,
32.62.180.131,"AS7018 AT&T Enterprises, LLC",US,"32.7781,-96.8054"
213.174.164.67,AS21309 HERABIT S.p.A.,IT,"44.4938,11.3387"
54.240.113.47,"AS16509 Amazon.com, Inc.",US,"45.8399,-119.7006"
206.169.196.2,"AS3549 Level 3 Parent, LLC",US,"34.0522,-118.2437"
209.69.222.101,"AS2914 NTT America, Inc.",US,"42.3615,-83.3649"
149.9.224.206,,US,"38.9014,-77.0504"
168.245.34.123,"AS11377 SendGrid, Inc.",US,"39.1157,-77.5636"
65.107.237.215,AS2828 Verizon Business,US,"39.0437,-77.4875"
64.226.243.216,"AS16509 Amazon.com, Inc.",US,"47.5413,-122.3129"
208.200.182.45,AS701 Verizon Business,US,"44.9779,-93.2199"
